Zip Code,State,City,Average Annual Cost,Percent difference from national average,County
92020,California,El Cajon,"$1,378.00",-27.00%,San Diego County
94568,California,Dublin,"$1,236.00",-35.00%,Alameda County
91764,California,Ontario,"$1,576.00",-17.00%,San Bernardino County
92027,California,Escondido,"$1,497.00",-21.00%,San Diego County
95670,California,Rancho Cordova,"$1,370.00",-28.00%,Sacramento County
92071,California,Santee,"$1,403.00",-26.00%,San Diego County
93313,California,Bakersfield,"$1,414.00",-26.00%,Kern County
94087,California,Sunnyvale,"$1,186.00",-38.00%,Santa Clara County
92392,California,Victorville,"$1,700.00",-10.00%,San Bernardino County
92223,California,Beaumont,"$1,756.00",-8.00%,Riverside County
91405,California,Van Nuys,"$1,952.00",3.00%,Los Angeles County
92708,California,Fountain Valley,"$1,569.00",-17.00%,Orange County
92130,California,San Diego,"$1,371.00",-28.00%,San Diego County
90813,California,Long Beach,"$1,736.00",-9.00%,Los Angeles County
92129,California,San Diego,"$1,389.00",-27.00%,San Diego County
93458,California,Santa Maria,"$1,206.00",-36.00%,Santa Barbara County
92646,California,Huntington Beach,"$1,592.00",-16.00%,Orange County
90744,California,Wilmington,"$1,642.00",-14.00%,Los Angeles County
92530,California,Lake Elsinore,"$1,771.00",-7.00%,Riverside County
90034,California,Los Angeles,"$1,897.00",0.00%,Los Angeles County
94591,California,Vallejo,"$1,342.00",-29.00%,Solano County
93063,California,Simi Valley,"$1,349.00",-29.00%,Ventura County
94109,California,San Francisco,"$1,524.00",-20.00%,San Francisco County
93436,California,Lompoc,"$1,282.00",-32.00%,Santa Barbara County
91344,California,Granada Hills,"$2,061.00",9.00%,Los Angeles County
93215,California,Delano,"$1,550.00",-18.00%,Kern County
95122,California,San Jose,"$1,318.00",-31.00%,Santa Clara County
90745,California,Carson,"$1,809.00",-5.00%,Los Angeles County
91745,California,Hacienda Heights,"$1,555.00",-18.00%,Los Angeles County
95376,California,Tracy,"$1,424.00",-25.00%,San Joaquin County
93308,California,Oildale,"$1,427.00",-25.00%,Kern County
92399,California,Yucaipa,"$1,729.00",-9.00%,San Bernardino County
94539,California,Fremont,"$1,325.00",-30.00%,Alameda County
92234,California,Cathedral City,"$1,720.00",-9.00%,Riverside County
92701,California,Santa Ana,"$1,530.00",-19.00%,Orange County
95116,California,San Jose,"$1,318.00",-31.00%,Santa Clara County
92505,California,Riverside,"$1,640.00",-14.00%,Riverside County
92618,California,Irvine,"$1,575.00",-17.00%,Orange County
92840,California,Garden Grove,"$1,528.00",-20.00%,Orange County
91406,California,Van Nuys,"$1,965.00",3.00%,Los Angeles County
92557,California,Moreno Valley,"$1,677.00",-12.00%,Riverside County
95023,California,Hollister,"$1,333.00",-30.00%,San Benito County
91786,California,Upland,"$1,530.00",-19.00%,San Bernardino County
91801,California,Alhambra,"$1,483.00",-22.00%,Los Angeles County
92584,California,Menifee,"$1,601.00",-16.00%,Riverside County
95125,California,San Jose,"$1,211.00",-36.00%,Santa Clara County
95350,California,Modesto,"$1,326.00",-30.00%,Stanislaus County
90723,California,Paramount,"$1,872.00",-1.00%,Los Angeles County
90063,California,East Los Angeles,"$2,071.00",9.00%,Los Angeles County
95616,California,Davis,"$1,362.00",-28.00%,Yolo County
91304,California,Los Angeles,"$2,082.00",10.00%,Los Angeles County
90002,California,Los Angeles,"$2,087.00",10.00%,Los Angeles County
92870,California,Placentia,"$1,587.00",-16.00%,Orange County
92056,California,Oceanside,"$1,390.00",-27.00%,San Diego County
93277,California,Visalia,"$1,339.00",-29.00%,Tulare County
94601,California,Oakland,"$1,547.00",-19.00%,Alameda County
92078,California,San Marcos,"$1,431.00",-25.00%,San Diego County
95648,California,Lincoln,"$1,343.00",-29.00%,Placer County
94550,California,Livermore,"$1,215.00",-36.00%,Alameda County
92833,California,Fullerton,"$1,523.00",-20.00%,Orange County
90018,California,Los Angeles,"$2,105.00",11.00%,Los Angeles County
91605,California,North Hollywood,"$1,985.00",5.00%,Los Angeles County
92025,California,Escondido,"$1,467.00",-23.00%,San Diego County
92128,California,San Diego,"$1,383.00",-27.00%,San Diego County
90024,California,Los Angeles,"$1,976.00",4.00%,Los Angeles County
95124,California,San Jose,"$1,204.00",-37.00%,Santa Clara County
95037,California,Morgan Hill,"$1,361.00",-28.00%,Santa Clara County
92656,California,Aliso Viejo,"$1,699.00",-11.00%,Orange County
95757,California,Elk Grove,"$1,357.00",-29.00%,Sacramento County
95207,California,Stockton,"$1,410.00",-26.00%,San Joaquin County
93003,California,San Buenaventura (Ventura),"$1,221.00",-36.00%,Ventura County
93638,California,Madera,"$1,510.00",-20.00%,Madera County
92886,California,Yorba Linda,"$1,598.00",-16.00%,Orange County
90047,California,Los Angeles,"$2,108.00",11.00%,Los Angeles County
91913,California,Chula Vista,"$1,381.00",-27.00%,San Diego County
90220,California,Compton,"$2,015.00",6.00%,Los Angeles County
92024,California,Encinitas,"$1,356.00",-29.00%,San Diego County
92626,California,Costa Mesa,"$1,568.00",-17.00%,Orange County
93551,California,Palmdale,"$2,288.00",20.00%,Los Angeles County
90221,California,Compton,"$2,002.00",5.00%,Los Angeles County
91767,California,Pomona,"$1,927.00",1.00%,Los Angeles County
92026,California,Escondido,"$1,470.00",-23.00%,San Diego County
92544,California,East Hemet,"$1,610.00",-15.00%,Riverside County
91306,California,Winnetka,"$2,049.00",8.00%,Los Angeles County
92084,California,Vista,"$1,396.00",-26.00%,San Diego County
92243,California,El Centro,"$1,673.00",-12.00%,Imperial County
92127,California,San Diego,"$1,372.00",-28.00%,San Diego County
92691,California,Mission Viejo,"$1,707.00",-10.00%,Orange County
92111,California,San Diego,"$1,311.00",-31.00%,San Diego County
90046,California,Los Angeles,"$2,162.00",14.00%,Los Angeles County
94553,California,Martinez,"$1,373.00",-28.00%,Contra Costa County
90057,California,Los Angeles,"$2,086.00",10.00%,Los Angeles County
