Zip Code,State,City,Average Annual Cost,Percent difference from national average
92010,California,Carlsbad,"$1,355",-29%
95203,California,Stockton,"$1,416",-25%
95304,California,Tracy,"$1,417",-25%
92845,California,Garden Grove,"$1,534",-19%
93950,California,Pacific Grove,"$1,285",-32%
92866,California,Orange,"$1,535",-19%
90305,California,Inglewood,"$1,955",3%
94502,California,Alameda,"$1,441",-24%
95066,California,Scotts Valley,"$1,511",-20%
95368,California,Salida,"$1,320",-30%
94552,California,Castro Valley,"$1,413",-26%
95650,California,Loomis,"$1,426",-25%
94542,California,Hayward,"$1,362",-28%
91208,California,Glendale,"$1,849",-3%
95437,California,Fort Bragg,"$1,447",-24%
96021,California,Corning,"$1,687",-11%
90232,California,Culver City,"$1,856",-2%
93250,California,McFarland,"$1,475",-22%
96022,California,Cottonwood,"$1,715",-10%
93543,California,Sun Village,"$2,185",15%
93221,California,Exeter,"$1,439",-24%
95605,California,West Sacramento,"$1,376",-28%
95315,California,Delhi,"$1,332",-30%
93514,California,Bishop,"$1,576",-17%
95540,California,Fortuna,"$1,402",-26%
92408,California,San Bernardino,"$1,659",-13%
94805,California,Richmond,"$1,367",-28%
90716,California,Hawaiian Gardens,"$1,847",-3%
92274,California,Oasis,"$1,736",-9%
94507,California,Alamo,"$1,358",-28%
95130,California,San Jose,"$1,223",-36%
94041,California,Mountain View,"$1,205",-37%
93505,California,California City,"$1,459",-23%
91377,California,Oak Park,"$1,485",-22%
95817,California,Sacramento,"$1,403",-26%
95388,California,Winton,"$1,339",-29%
93723,California,Fresno,"$1,400",-26%
95490,California,Willits,"$1,579",-17%
95030,California,Los Gatos,"$1,269",-33%
94705,California,Berkeley,"$1,464",-23%
93640,California,Mendota,"$1,530",-19%
95360,California,Newman,"$1,345",-29%
94108,California,San Francisco,"$1,574",-17%
93433,California,Grover Beach,"$1,137",-40%
94904,California,Kentfield,"$1,363",-28%
91108,California,San Marino,"$1,528",-20%
92625,California,Corona Del Mar,"$1,564",-18%
92014,California,San Diego,"$1,353",-29%
93204,California,Avenal,"$1,532",-19%
95357,California,Modesto,"$1,347",-29%
90013,California,Los Angeles,"$2,075",9%
95320,California,Escalon,"$1,407",-26%
94517,California,Clayton,"$1,336",-30%
94105,California,San Francisco,"$1,587",-16%
93923,California,Carmel,"$1,304",-31%
90293,California,Playa Del Rey,"$1,740",-8%
92055,California,Camp Pendleton,"$1,517",-20%
95832,California,Sacramento,"$1,422",-25%
92075,California,Solana Beach,"$1,394",-27%
91105,California,Pasadena,"$1,577",-17%
95742,California,Rancho Cordova,"$1,349",-29%
93301,California,Bakersfield,"$1,418",-25%
94920,California,Tiburon,"$1,383",-27%
93730,California,Fresno,"$1,400",-26%
92313,California,Grand Terrace,"$1,681",-11%
95814,California,Sacramento,"$1,393",-27%
93636,California,Bonadelle Ranchos-Madera Ranchos,"$1,565",-18%
94709,California,Berkeley,"$1,396",-26%
90040,California,Commerce,"$1,871",-1%
95954,California,Magalia,"$1,705",-10%
93908,California,Salinas,"$1,285",-32%
93614,California,Coarsegold,"$1,725",-9%
95948,California,Gridley,"$1,564",-18%
95451,California,Kelseyville,"$1,606",-15%
92007,California,Cardiff By The Sea,"$1,349",-29%
94708,California,Berkeley,"$1,405",-26%
94707,California,Berkeley,"$1,373",-28%
90212,California,Beverly Hills,"$2,226",17%
95640,California,Ione,"$1,563",-18%
90402,California,Santa Monica,"$1,906",0%
94065,California,Redwood City,"$1,284",-32%
93647,California,Orosi,"$1,428",-25%
90755,California,Signal Hill,"$1,674",-12%
94965,California,Sausalito,"$1,436",-24%
90248,California,Los Angeles,"$1,845",-3%
91207,California,Glendale,"$1,858",-2%
93109,California,Santa Barbara,"$1,258",-34%
95073,California,Soquel,"$1,443",-24%
93646,California,Orange Cove,"$1,575",-17%
91502,California,Burbank,"$1,855",-2%
95453,California,Lakeport,"$1,604",-16%
95425,California,Cloverdale,"$1,309",-31%
95953,California,Live Oak,"$1,473",-22%
93219,California,Earlimart,"$1,464",-23%
93442,California,Morro Bay,"$1,120",-41%
91978,California,Spring Valley,"$1,409",-26%
93223,California,Farmersville,"$1,375",-28%
91024,California,Sierra Madre,"$1,531",-19%
92314,California,Big Bear City,"$1,869",-2%
95326,California,Hughson,"$1,307",-31%
95338,California,Mariposa,"$1,602",-16%
95064,California,Santa Cruz,"$1,435",-24%
95694,California,Winters,"$1,454",-23%
95713,California,Colfax,"$1,604",-16%
95386,California,Waterford,"$1,344",-29%
93286,California,Woodlake,"$1,467",-23%
93108,California,Montecito,"$1,375",-28%
95119,California,San Jose,"$1,233",-35%
93701,California,Fresno,"$1,504",-21%
94571,California,Rio Vista,"$1,325",-30%
96019,California,Shasta Lake,"$1,800",-5%
95012,California,Castroville,"$1,308",-31%
95322,California,Gustine,"$1,367",-28%
92567,California,Nuevo,"$1,686",-11%
94572,California,Rodeo,"$1,346",-29%
95033,California,Los Gatos,"$1,525",-20%
94925,California,Corte Madera,"$1,415",-25%
92359,California,Mentone,"$1,709",-10%
93546,California,Mammoth Lakes,"$1,597",-16%
92310,California,Fort Irwin,"$1,693",-11%
92252,California,Joshua Tree,"$1,671",-12%
96097,California,Yreka,"$1,704",-10%
93465,California,Templeton,"$1,184",-38%
95006,California,Boulder Creek,"$1,564",-18%
93622,California,Firebaugh,"$1,527",-20%
91935,California,Jamul,"$1,541",-19%
94158,California,San Francisco,"$1,512",-20%
90211,California,Beverly Hills,"$2,236",18%
90014,California,Los Angeles,"$2,093",10%
94931,California,Cotati,"$1,195",-37%
90094,California,Playa Vista,"$1,829",-4%
92320,California,Calimesa,"$1,787",-6%
92657,California,Newport Coast,"$1,627",-14%
92067,California,Rancho Santa Fe,"$1,467",-23%
95010,California,Capitola,"$1,372",-28%
93926,California,Gonzales,"$1,348",-29%
94930,California,Fairfax,"$1,437",-24%
91020,California,Montrose,"$1,740",-8%
95019,California,Watsonville,"$1,398",-26%
95324,California,Hilmar-Irwin,"$1,318",-31%
92655,California,Midway City,"$1,542",-19%
92325,California,Crestline,"$1,914",1%
95327,California,Jamestown,"$1,606",-15%
94574,California,St. Helena,"$1,336",-30%
92548,California,Homeland,"$1,689",-11%
93721,California,Fresno,"$1,470",-23%
95988,California,Willows,"$1,509",-21%
92249,California,Heber,"$1,739",-8%
93620,California,Dos Palos,"$1,322",-30%
92254,California,Mecca,"$1,741",-8%
95946,California,Penn Valley,"$1,727",-9%
90077,California,Los Angeles,"$2,149",13%
93644,California,Oakhurst,"$1,712",-10%
92250,California,Holtville,"$1,681",-11%
95220,California,Acampo,"$1,417",-25%
95726,California,Pollock Pines,"$1,603",-16%
95065,California,Live Oak,"$1,444",-24%
92276,California,Thousand Palms,"$1,722",-9%
94710,California,Berkeley,"$1,513",-20%
95316,California,Denair,"$1,320",-30%
90056,California,Ladera Heights,"$1,896",0%
93449,California,Pismo Beach,"$1,159",-39%
93463,California,Solvang,"$1,275",-33%
95005,California,Ben Lomond,"$1,534",-19%
93625,California,Fowler,"$1,490",-22%
92241,California,Garnet,"$1,722",-9%
93434,California,Guadalupe,"$1,237",-35%
95932,California,Colusa,"$1,476",-22%
94515,California,Calistoga,"$1,324",-30%
92233,California,Calipatria,"$1,723",-9%
93510,California,Acton,"$2,333",23%
93445,California,Oceano,"$1,136",-40%
95139,California,San Jose,"$1,254",-34%
93234,California,Huron,"$1,537",-19%
94027,California,Atherton,"$1,256",-34%
96094,California,Weed,"$1,744",-8%
90401,California,Santa Monica,"$1,825",-4%
96067,California,Mount Shasta,"$1,798",-5%
94939,California,Larkspur,"$1,405",-26%
95811,California,Sacramento,"$1,369",-28%
92342,California,Silver Lakes,"$1,741",-8%
94028,California,Portola Valley,"$1,313",-31%
93022,California,Oak View,"$1,298",-32%
95202,California,Stockton,"$1,413",-26%
95631,California,Foresthill,"$1,579",-17%
95436,California,Forestville,"$1,246",-34%
93591,California,Lake Los Angeles,"$2,194",16%
95642,California,Jackson,"$1,540",-19%
95672,California,Cameron Park,"$1,516",-20%
95619,California,Diamond Springs,"$1,561",-18%
95658,California,Newcastle,"$1,493",-21%
93924,California,Carmel Valley Village,"$1,377",-27%
95693,California,Wilton,"$1,383",-27%
92624,California,Capistrano Beach,"$1,633",-14%
95018,California,Felton,"$1,524",-20%
93615,California,Cutler,"$1,410",-26%
93267,California,Strathmore,"$1,506",-21%
92352,California,Lake Arrowhead,"$1,870",-2%
92356,California,Lucerne Valley,"$1,722",-9%
93427,California,Buellton,"$1,273",-33%
93240,California,Lake Isabella,"$1,631",-14%
95683,California,Rancho Murieta,"$1,459",-23%
95987,California,Williams,"$1,480",-22%
93460,California,Santa Ynez,"$1,233",-35%
95249,California,San Andreas,"$1,635",-14%
95971,California,Quincy,"$1,742",-8%
95467,California,Hidden Valley Lake,"$1,615",-15%
95046,California,San Martin,"$1,293",-32%
92861,California,Villa Park,"$1,581",-17%
95626,California,Elverta,"$1,413",-26%
93256,California,Pixley,"$1,420",-25%
93656,California,Riverdale,"$1,503",-21%
92372,California,Pinon Hills,"$1,903",0%
93428,California,Cambria,"$1,169",-38%
95709,California,Camino,"$1,620",-15%
93270,California,Terra Bella,"$1,463",-23%
93225,California,Frazier Park,"$1,560",-18%
95231,California,French Camp,"$1,406",-26%
95222,California,Angels,"$1,621",-15%
92363,California,Needles,"$1,710",-10%
95470,California,Redwood Valley,"$1,565",-18%
93609,California,Caruthers,"$1,487",-22%
92315,California,Big Bear Lake,"$1,850",-3%
92590,California,Temecula,"$1,691",-11%
90290,California,Topanga,"$2,200",16%
96101,California,Alturas,"$1,619",-15%
92210,California,Indian Wells,"$1,677",-12%
92003,California,Bonsall,"$1,557",-18%
95912,California,Arbuckle,"$1,477",-22%
96088,California,Shingletown,"$1,812",-5%
92278,California,Twentynine Palms,"$1,712",-10%
92823,California,Brea,"$1,623",-15%
95722,California,Meadow Vista,"$1,606",-15%
95446,California,Guerneville,"$1,248",-34%
93272,California,Tipton,"$1,430",-25%
95692,California,Wheatland,"$1,481",-22%
95669,California,Plymouth,"$1,578",-17%
